name,tweet,time_to_code,time_to_job
Patrick,"A lifetime, the learning never stops",,
imri,It never ends,,
Rob Stemp,"35 years,  and still learning..",420.0,
Nick de Raad,What are you trying to build?,,
Piotr Górski,Still learning to this day,,
Nando,It never ends,,
Ivan Bunčić,36 years.,432.0,
Andrey Persidsky,Too f*** long   worth it!,,
Nilesh Viduranga,Yes.,,
Bentario,1,,
Shing ha,Automated,,
Jose,"It took me a bit more than a year. If I've had some sort of mentorship, it would've probably taken me half the time. I juggled learning many unnecessary things that weren't needed for my current job anyways, thinking it was the right thing to do.",,
Rahul Gupta,"2 years if you are in exploring mode, I tried various languages, DSA, app development, data science. Before settling on Full Stack Javascript Development.",24.0,
DavDev,"It took me 8 months to to learn html, css javascript, and React then land my 1st internship. Then they and  i realized i know those stuffs basically but i'm and not good at them so they are making me start all over again by doing just integration with html and tailwind.",8.0,
etitiMfon,"It takes man, going back and forth without knowing what you are really doing, neither did u understand what's going on if the code didn't run. Making stackoverflow ur best friend for solving errors. But I really appreciate myself now, cos I've learnt alot.",,
Dario Zadro,The basics? Weeks. To master? A lifetime.,,
Manasvi Sareen,Forever.,,
Carlos Gutiérrez,"When I learnt C/C# and then Java/Kotlin took me more than a year to fully understand what I was doing, even then I didn't fully understood pointers and memory allocation until way later",,
Dav.iota,I managed to become a lead backend developer building for Million of customers & billions of revenue just with a 4 month Bootcamp.The first 1.5 years on the job was hell after 2.5 years I could almost do everything on my own.After 4 years I’m very confident & huge responsibility.,,60.0
Joseph Yanni,"There are several Udemy courses that are more than effective in learning a new language, system, or tool. I particularly like the courses done by Maximillian Schwarzmuller or find the ""Highest Rated"" or ""Bestseller"" courses.",,
josh mccoy,depends on how long it takes them to start.,,
Anudeep Sharma (3/50),Robotics is a weird blend of machine learning (python) and embedded software development (C/C++).,,
Richard Griffiths,Longee that you think because it's hard to measure when you've learnt enough to be useful in employment.,,
Ibrahim,you need 2 - 4 months to handle simple tasks.,4.0,
48m,"I took my time, was during Covid everything was close there were no jobs anyway.",,
Patrick,"A lifetime, the learning never stops",,
Patrick,"A lifetime, the learning never stops",,
Patrick,undefined,,
imri,It never ends,,
imri,It never ends,,
imri,undefined,,
Rob Stemp,"35 years,  and still learning..",420.0,
Rob Stemp,"35 years,  and still learning..",420.0,
Rob Stemp,undefined,,
Nick de Raad,What are you trying to build?,,
Nick de Raad,What are you trying to build?,,
Nick de Raad,undefined,,
Piotr Górski,Still learning to this day,,
Piotr Górski,Still learning to this day,,
Piotr Górski,undefined,,
Nando,It never ends,,
Nando,It never ends,,
Nando,undefined,,
Ivan Bunčić,36 years.,432.0,
Ivan Bunčić,36 years.,432.0,
Ivan Bunčić,undefined,,
Andrey Persidsky,Too f*** long   worth it!,,
Andrey Persidsky,Too f*** long   worth it!,,
Andrey Persidsky,undefined,,
Nilesh Viduranga,Yes.,,
Nilesh Viduranga,Yes.,,
Nilesh Viduranga,undefined,,
Bentario,1,,
Bentario,1,,
Bentario,1,,
Shing ha,Automated,,
Shing ha,Automated,,
Shing ha,undefined,,
Jose,"It took me a bit more than a year. If I've had some sort of mentorship, it would've probably taken me half the time. I juggled learning many unnecessary things that weren't needed for my current job anyways, thinking it was the right thing to do.",,
Jose,"It took me a bit more than a year. If I've had some sort of mentorship, it would've probably taken me half the time. I juggled learning many unnecessary things that weren't needed for my current job anyways, thinking it was the right thing to do.",,
Jose,"It took me a bit more than a year. If I've had some sort of mentorship, it would've probably taken me half the time. I juggled learning many unnecessary things that weren't needed for my current job anyways, thinking it was the right thing to do.",,
Rahul Gupta,"2 years if you are in exploring mode, I tried various languages, DSA, app development, data science. Before settling on Full Stack Javascript Development.",24.0,
Rahul Gupta,"2 years if you are in exploring mode, I tried various languages, DSA, app development, data science. Before settling on Full Stack Javascript Development.",24.0,
Rahul Gupta,"2 years if you are in exploring mode, I tried various languages, DSA, app development, data science. Before settling on Full Stack Javascript Development.",24.0,
DavDev,"It took me 8 months to to learn html, css javascript, and React then land my 1st internship. Then they and  i realized i know those stuffs basically but i'm and not good at them so they are making me start all over again by doing just integration with html and tailwind.",8.0,
DavDev,"It took me 8 months to to learn html, css javascript, and React then land my 1st internship. Then they and  i realized i know those stuffs basically but i'm and not good at them so they are making me start all over again by doing just integration with html and tailwind.",8.0,
DavDev,"It took me 8 months to to learn html, css javascript, and React then land my 1st internship. Then they and  i realized i know those stuffs basically but i'm and not good at them so they are making me start all over again by doing just integration with html and tailwind.",8.0,
etitiMfon,"It takes man, going back and forth without knowing what you are really doing, neither did u understand what's going on if the code didn't run. Making stackoverflow ur best friend for solving errors. But I really appreciate myself now, cos I've learnt alot.",,
etitiMfon,"It takes man, going back and forth without knowing what you are really doing, neither did u understand what's going on if the code didn't run. Making stackoverflow ur best friend for solving errors. But I really appreciate myself now, cos I've learnt alot.",,
etitiMfon,"It takes man, going back and forth without knowing what you are really doing, neither did u understand what's going on if the code didn't run. Making stackoverflow ur best friend for solving errors. But I really appreciate myself now, cos I've learnt alot.",,
Dario Zadro,The basics? Weeks. To master? A lifetime.,,
Dario Zadro,The basics? Weeks. To master? A lifetime.,,
Dario Zadro,The basics? Weeks. To master? A lifetime.,,
Manasvi Sareen,Forever.,,
Manasvi Sareen,Forever.,,
Manasvi Sareen,Forever.,,
Carlos Gutiérrez,"When I learnt C/C# and then Java/Kotlin took me more than a year to fully understand what I was doing, even then I didn't fully understood pointers and memory allocation until way later",,
Carlos Gutiérrez,"When I learnt C/C# and then Java/Kotlin took me more than a year to fully understand what I was doing, even then I didn't fully understood pointers and memory allocation until way later",,
Carlos Gutiérrez,"When I learnt C/C# and then Java/Kotlin took me more than a year to fully understand what I was doing, even then I didn't fully understood pointers and memory allocation until way later",,
Dav.iota,I managed to become a lead backend developer building for Million of customers & billions of revenue just with a 4 month Bootcamp.The first 1.5 years on the job was hell after 2.5 years I could almost do everything on my own.After 4 years I’m very confident & huge responsibility.,,60.0
Dav.iota,I managed to become a lead backend developer building for Million of customers & billions of revenue just with a 4 month Bootcamp.The first 1.5 years on the job was hell after 2.5 years I could almost do everything on my own.After 4 years I’m very confident & huge responsibility.,,60.0
Dav.iota,I managed to become a lead backend developer building for Million of customers & billions of revenue just with a 4 month Bootcamp.The first 1.5 years on the job was hell after 2.5 years I could almost do everything on my own.After 4 years I’m very confident & huge responsibility.,,60.0
Joseph Yanni,"There are several Udemy courses that are more than effective in learning a new language, system, or tool. I particularly like the courses done by Maximillian Schwarzmuller or find the ""Highest Rated"" or ""Bestseller"" courses.",,
Joseph Yanni,"There are several Udemy courses that are more than effective in learning a new language, system, or tool. I particularly like the courses done by Maximillian Schwarzmuller or find the ""Highest Rated"" or ""Bestseller"" courses.",,
